frontend,hash,block_time,user_addr,solver,trade_usd
deBridge Frontend,0xc9184e7e53138970538ba694790456d3c410b3433776cd707fbf672dfe5b159b,2025-09-30 21:28:23.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,46.82408212988731
deBridge Frontend,0x7ba0db180d279a1c39d18597b9de09b38dbf3c8d9f93c7e940dea75e7020f640,2025-09-30 21:24:47.000 UTC,0x2654cf6f6b24a1c020270ee15035550879f61425,1inch Router,50.025935798784005
deBridge Frontend,0x0a33e73779bce3740ac5530b0b841c5b48b715e56fd6decdd60aff2e557751e5,2025-09-30 21:22:23.000 UTC,0x1e109d267da61261cb160cb6387fccc0463d6176,1inch Router,379.00237321049406
deBridge Frontend,0xab951186ec48ac571c5e0802e517aa823dfc13ffb448edaa330cfbbdba7ef2f5,2025-09-30 21:15:23.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,441.97810598347104
deBridge Frontend,0x2ca465b9331ce3379aeb930cf5bbf35e9f0d4e7cbea5a7fe5201bbf09e0c5c60,2025-09-30 21:15:11.000 UTC,0x76433e301c897a64aac895e5d43e4053efe51137,1inch Router,1066.223372176887
deBridge Frontend,0x2fb23fd0fa1046760293b74c271ae2117c839fa949089ec07d870416bf1a660f,2025-09-30 21:14:47.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,791.8968456590391
deBridge Frontend,0xf321c2dbb04aba379f5698f4b1c1a5120c2bd25aca010324670595e885dac52a,2025-09-30 21:13:47.000 UTC,0xe16bc3b779b2be44c2d92d6daf1890b05222be63,1inch Router,36.683460218295
deBridge Frontend,0xe8866fc5c7034544e544f142f2bdc8a8b7e93c065311d8e7617a1bd866cff4ba,2025-09-30 21:11:11.000 UTC,0xbee5794796a7ea23d9d44910d44b3c31a27d5a3c,1inch Router,50.014540779944
deBridge Frontend,0xe44d9affe2bcac9d73da0ecdc53186b0fbb41bd31f11b9acfb0736f8f4997f8c,2025-09-30 21:10:35.000 UTC,0xbee5794796a7ea23d9d44910d44b3c31a27d5a3c,1inch Router,149.960524990836
deBridge Frontend,0x3f8f94f1ecbc885270ea552c512b4329de4475b07b6c820cd05b0bd6db7906f6,2025-09-30 21:08:35.000 UTC,0x0c64370f0fc0b0cf5485b4420d025fb3803155c1,1inch Router,89.95883709852
deBridge Frontend,0x86db8b8aa908332e182a8c5c8420eacbdddd5ba63176a5c8cdd75a6dc940dc81,2025-09-30 21:07:47.000 UTC,0xe3dbf8c81bee56e477a8683cefbfbf5e3e80b41d,1inch Router,116.28403996664001
deBridge Frontend,0x71d0fbf30052a55b1d2d7d9508b480ed737a156e0718c2889192543ea32176cc,2025-09-30 21:04:11.000 UTC,0xd6d95d5499ec98ee58278f0af16a9319857933fc,1inch Router,80.01095601087599
deBridge Frontend,0x676f13b392d3f54b124e2a1513702ce23d3cb6c2d4d90c1f1f82327b18c2a1c1,2025-09-30 20:59:23.000 UTC,0x8046a895751b2552415bf02b923b55cce7956a46,1inch Router,299.98350943188296
deBridge Frontend,0x3b4a43fec0b8798838822c3a90886b976babfaf944db6e41e66c4d2d6ea77db7,2025-09-30 20:53:23.000 UTC,0x442b9b7404727196ae90750608ffd96ec2b88595,1inch Router,180.112342731814
deBridge Frontend,0x7e03857471cb456ec9ad8329b1b3dad042098a23cc613e7b6f7be7cf509524c5,2025-09-30 20:53:23.000 UTC,0x18f36cb1d2822342d2a97fc08d2016108587a39c,1inch Router,330.790593737796
deBridge Frontend,0xa3614a2cc4c0d5b3ab2167f495b20449ec571a99c51e2b37764ce654744fae3d,2025-09-30 20:49:47.000 UTC,0xd101beb1687033d069dd2e96ebf55fb2bb8b1e8a,1inch Router,135.98814992660627
